"Plot Title: CT_20739336"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 20739336, SEN S/N: 20739336)","Specific Conductance, μS/cm (LGR S/N: 20739336)","Salinity, ppt (LGR S/N: 20739336)"
327,03/06/20 01:24:30 PM,25.65,0.0,0.0123
328,03/06/20 01:24:40 PM,25.79,0.0,0.0123
329,03/06/20 01:24:50 PM,25.86,0.0,0.0123
330,03/06/20 01:25:00 PM,25.84,0.0,0.0123
331,03/06/20 01:25:10 PM,25.72,0.0,0.0123
332,03/06/20 01:25:20 PM,25.52,0.0,0.0123
333,03/06/20 01:25:30 PM,25.46,0.0,0.0123
334,03/06/20 01:25:40 PM,25.35,0.0,0.0123
335,03/06/20 01:25:50 PM,24.92,0.0,0.0123
336,03/06/20 01:26:00 PM,24.88,0.0,0.0123
337,03/06/20 01:26:10 PM,24.99,0.0,0.0123
338,03/06/20 01:26:20 PM,25.02,0.0,0.0123
339,03/06/20 01:26:30 PM,24.74,0.0,0.0123
340,03/06/20 01:26:40 PM,24.56,0.0,0.0123
341,03/06/20 01:26:50 PM,25.09,0.0,0.0123
342,03/06/20 01:27:00 PM,25.07,0.0,0.0123
343,03/06/20 01:27:10 PM,25.07,0.0,0.0123
344,03/06/20 01:27:20 PM,24.97,0.0,0.0123
345,03/06/20 01:27:30 PM,24.59,0.0,0.0123
346,03/06/20 01:27:40 PM,24.45,0.0,0.0123
347,03/06/20 01:27:50 PM,24.27,0.0,0.0123
348,03/06/20 01:28:00 PM,24.53,0.0,0.0123
349,03/06/20 01:28:10 PM,24.91,0.0,0.0123
350,03/06/20 01:28:20 PM,24.30,0.0,0.0123
351,03/06/20 01:28:30 PM,24.15,0.0,0.0123
352,03/06/20 01:28:40 PM,24.11,0.0,0.0123
353,03/06/20 01:28:50 PM,24.03,0.0,0.0123
354,03/06/20 01:29:00 PM,23.98,0.0,0.0123
355,03/06/20 01:29:10 PM,23.93,0.0,0.0123
356,03/06/20 01:29:20 PM,23.87,0.0,0.0123
357,03/06/20 01:29:30 PM,23.81,0.0,0.0123
358,03/06/20 01:29:40 PM,23.76,0.0,0.0123
359,03/06/20 01:29:50 PM,23.68,0.0,0.0123
360,03/06/20 01:30:00 PM,23.63,0.0,0.0123
361,03/06/20 01:30:10 PM,23.59,0.0,0.0123
362,03/06/20 01:30:20 PM,23.52,0.0,0.0123
363,03/06/20 01:30:30 PM,23.51,0.0,0.0123
364,03/06/20 01:30:40 PM,23.39,0.0,0.0123
365,03/06/20 01:30:50 PM,23.14,0.0,0.0123
366,03/06/20 01:31:00 PM,23.05,0.0,0.0123
367,03/06/20 01:31:10 PM,23.21,0.0,0.0123
368,03/06/20 01:31:20 PM,23.29,0.0,0.0123
369,03/06/20 01:31:30 PM,23.39,0.0,0.0123
370,03/06/20 01:31:40 PM,23.27,0.0,0.0123
371,03/06/20 01:31:50 PM,23.48,0.0,0.0123
372,03/06/20 01:32:00 PM,23.73,0.0,0.0123
373,03/06/20 01:32:10 PM,23.96,0.0,0.0123
374,03/06/20 01:32:20 PM,24.16,0.0,0.0123
375,03/06/20 01:32:30 PM,24.34,0.0,0.0123
376,03/06/20 01:32:40 PM,24.28,0.0,0.0123
377,03/06/20 01:32:50 PM,24.11,0.0,0.0123
378,03/06/20 01:33:00 PM,23.94,0.0,0.0123
379,03/06/20 01:33:10 PM,24.01,0.0,0.0123
380,03/06/20 01:33:20 PM,23.98,0.0,0.0123
